Relaxation:                          0.9 : 9
Country-Pop:                         0.8400000000000001 : 8
Traditional Country:                 0.8400000000000001 : 8
Lush:                                0.8400000000000001 : 8
Romantic:                            0.8400000000000001 : 8
Sensual:                             0.8400000000000001 : 8
Sophisticated:                       0.8400000000000001 : 8
Gentle:                              0.78 : 7
Reflective:                          0.78 : 7
In Love:                             0.78 : 7
Intimate:                            0.72 : 6
Romantic Evening:                    0.72 : 6
Nashville Sound/Countrypolitan:      0.66 : 5
Relaxed:                             0.66 : 5
Soft/Quiet:                          0.66 : 5
Sweet Dreams:                        0.6 : 4
